name,price,url,details
GLAMIRA Bangle Lebowitz,"$45,564.00",https://www.glamira.com/glamira-bangle-lebowitz.html,"{""General"": {""Product No:"": ""lebowitz"", ""Gender"": ""Female"", ""Length[?]"": ""17 - 20 cm (Adjustable)"", ""Solid[?]"": ""Yes"", ""Color / Metal[?]"": ""14K Yellow Gold"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 22.73 Grams""}, ""Center Stone[?]"": {""Center Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color[?]"": ""H"", ""Stone Clarity[?]"": ""VS"", ""Shape[?]"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat[?]"": ""4"", ""Quantity of stones"": ""16"", ""Center Stone Diameter[?]"": ""4.0 mm""}, ""Accent Stone[?]"": {""Accent Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Emerald"", ""Cut"": ""Excellent"", ""Total Stone Carat"": ""6"", ""Quantity of stones"": ""15"", ""Accent Stone Diameter"": ""5.0x3.0 mm""}}"
GLAMIRA Bangle Aster,"$152,437.00",https://www.glamira.com/glamira-bangle-aster.html,"{""General"": {""Product No:"": ""H29464-4-A"", ""Gender"": ""Female"", ""Solid[?]"": ""Yes"", ""Length[?]"": ""MEDIUM 7.1 inchClick to edit"", ""Color / Metal[?]"": ""18K Yellow Gold"", ""GLAMIRA Logo inside[?]"": """", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 16.30 Grams""}, ""Center Stone[?]"": {""Center Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color[?]"": ""H"", ""Stone Clarity[?]"": ""SI"", ""Shape[?]"": ""Cushion"", ""Cut"": ""Very Good"", ""Carat[?]"": ""7.5"", ""Quantity of stones"": ""1"", ""Center Stone Diameter[?]"": ""12.0x10.0 mm""}, ""Accent Stone[?]"": {""Accent Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat"": ""2.85"", ""Quantity of stones"": ""95"", ""Accent Stone Diameter"": ""2.0 mm""}}"
Women's Bracelet Feny,"$51,828.00",https://www.glamira.com/womens-bracelet-feny.html,"{""General"": {""Product No:"": ""NYVR39"", ""Gender"": ""Female"", ""Length[?]"": ""17 - 20 cm (Adjustable)"", ""Solid[?]"": ""Yes"", ""Color / Metal[?]"": ""14K White & Yellow Gold"", ""Rhodium Plated[?]"": ""Yes"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 63.80 Grams""}, ""Center Stone[?]"": {""Center Stone"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity[?]"": ""VS"", ""Shape[?]"": ""Oval - Pear"", ""Cut"": ""Very Good"", ""Total Stone Carat[?]"": ""19.32"", ""Quantity of stones"": ""56"", ""Center Stone Diameter[?]"": ""6.0x4.0 mm""}, ""Accent Stone[?]"": {""Accent Stone"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Pear"", ""Cut"": ""Very Good"", ""Total Stone Carat"": ""10.2"", ""Quantity of stones"": ""60"", ""Accent Stone Diameter"": ""5.0x3.0 mm""}, ""Stone 3[?]"": {""Stone 3"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Very Good"", ""Total Stone Carat[?]"": ""7"", ""Quantity of stones"": ""46"", ""Diameter[?]"": ""4.0 mm - 3.0 mm""}, ""Stone 4"": {""Stone 4"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Marquise"", ""Cut"": ""Very Good"", ""Total Stone Carat"": ""1.14"", ""Quantity of stones"": ""19"", ""Diameter"": ""4.0x2.0 mm""}, ""Stone 5"": {""Stone 5"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Very Good"", ""Total Stone Carat"": ""0.21"", ""Quantity of stones"": ""3"", ""Diameter"": ""2.5 mm""}}"
GLAMIRA Bracelet Aimee,"$27,362.00",https://www.glamira.com/glamira-bracelet-aimee.html,"{""General"": {""Product No:"": ""aimee"", ""Gender"": ""Female"", ""Length[?]"": ""17 - 20 cm (Adjustable)"", ""Solid[?]"": ""Yes"", ""Color / Metal[?]"": ""18K Yellow Gold"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 13.86 Grams""}, ""Center Stone[?]"": {""Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color[?]"": ""H"", ""Stone Clarity[?]"": ""VS"", ""Shape[?]"": ""Heart"", ""Cut"": ""Excellent"", ""Total Stone Carat[?]"": ""4.84"", ""Quantity of stones"": ""11"", ""Center Stone Diameter[?]"": ""5.0x5.0 mm""}}"
GLAMIRA Bracelet Efnos,"$28,392.00",https://www.glamira.com/glamira-bracelet-efnos.html,"{""General"": {""Product No:"": ""efnos"", ""Gender"": ""Female"", ""Length[?]"": ""17 - 20 cm (Adjustable)"", ""Solid[?]"": ""Yes"", ""Color / Metal[?]"": ""950 Platinum"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 21.33 Grams""}, ""Center Stone[?]"": {""Center Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color[?]"": ""H"", ""Stone Clarity[?]"": ""VS"", ""Shape[?]"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat[?]"": ""4.5"", ""Quantity of stones"": ""9"", ""Center Stone Diameter[?]"": ""5.0 mm""}, ""Accent Stone[?]"": {""Accent Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat"": ""1.6"", ""Quantity of stones"": ""10"", ""Accent Stone Diameter"": ""3.5 mm""}, ""Stone 3[?]"": {""Stone 3"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat[?]"": ""1.746"", ""Quantity of stones"": ""342"", ""Diameter[?]"": ""1.1 mm - 1.0 mm""}}"
Women's Bracelet Uholde,"$21,055.00",https://www.glamira.com/womens-bracelet-uholde.html,"{""General"": {""Product No:"": ""NYVR67"", ""Gender"": ""Female"", ""Length[?]"": ""17 - 20 cm (Adjustable)"", ""Solid[?]"": ""Yes"", ""Color / Metal[?]"": ""14k White & Rose & Yellow Gold"", ""Rhodium Plated[?]"": ""Yes"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 37.75 Grams""}, ""Center Stone[?]"": {""Center Stone"": ""Pink Sapphire"", ""Certification"": ""GL Certified"", ""Color"": ""Pink"", ""Stone Clarity[?]"": ""AA"", ""Shape[?]"": ""Emerald"", ""Cut"": ""Very Good"", ""Total Stone Carat[?]"": ""7.14"", ""Quantity of stones"": ""7"", ""Center Stone Diameter[?]"": ""7.0x5.0 mm""}, ""Accent Stone[?]"": {""Accent Stone"": ""Yellow Sapphire"", ""Certification"": ""GL Certified"", ""Color"": ""Yellow"", ""Stone Clarity"": ""AAA"", ""Shape"": ""Pear"", ""Cut"": ""Very Good"", ""Total Stone Carat"": ""1.7"", ""Quantity of stones"": ""10"", ""Accent Stone Diameter"": ""5.0x3.0 mm""}, ""Stone 3[?]"": {""Stone 3"": ""White Sapphire"", ""Certification"": ""GL Certified"", ""Color"": ""White"", ""Stone Clarity"": ""AAA"", ""Shape"": ""Oval - Princess - Round"", ""Cut"": ""Very Good"", ""Total Stone Carat[?]"": ""7.44"", ""Quantity of stones"": ""40"", ""Diameter[?]"": ""5.0x3.0 mm - 3.5x3.5 mm - 3.0 mm""}, ""Stone 4"": {""Stone 4"": ""White Sapphire"", ""Certification"": ""GL Certified"", ""Color"": ""White"", ""Stone Clarity"": ""AAA"", ""Shape"": ""Baguette"", ""Cut"": ""Very Good"", ""Total Stone Carat"": ""2.8"", ""Quantity of stones"": ""14"", ""Diameter"": ""5.0x2.5 mm""}, ""Stone 5"": {""Stone 5"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Marquise - Round"", ""Cut"": ""Excellent"", ""Total Stone Carat"": ""2.99"", ""Quantity of stones"": ""197"", ""Diameter"": ""4.0x2.0 mm - 2.5 mm - 2.0 mm - 1.2 mm""}}"
GLAMIRA Bracelet Duchesse,"$19,700.00",https://www.glamira.com/glamira-bracelet-duchesse.html,"{""General"": {""Product No:"": ""duchesse"", ""Gender"": ""Female"", ""Solid[?]"": ""Yes"", ""Length[?]"": ""MEDIUM 7.1 inchClick to edit"", ""Color / Metal[?]"": ""18K Rose Gold"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 15.42 Grams""}, ""Center Stone[?]"": {""Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color[?]"": ""H"", ""Stone Clarity[?]"": ""VS"", ""Shape[?]"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat[?]"": ""7.68"", ""Quantity of stones"": ""48"", ""Center Stone Diameter[?]"": ""3.5 mm""}}"
Women's Bracelet Sooro,"$35,166.00",https://www.glamira.com/womens-bracelet-sooro.html,"{""General"": {""Product No:"": ""NYVR66"", ""Gender"": ""Female"", ""Length[?]"": ""MEDIUM 7.1 inchClick to edit"", ""Solid[?]"": ""Yes"", ""Color / Metal[?]"": ""14K White Gold"", ""Rhodium Plated[?]"": """", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 41.65 Grams""}, ""Center Stone[?]"": {""Center Stone"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity[?]"": ""VS"", ""Shape[?]"": ""Trillion"", ""Cut"": ""Very Good"", ""Total Stone Carat[?]"": ""8.05"", ""Quantity of stones"": ""23"", ""Center Stone Diameter[?]"": ""5.0x5.0 mm""}, ""Accent Stone[?]"": {""Accent Stone"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Oval"", ""Cut"": ""Very Good"", ""Total Stone Carat"": ""2.4"", ""Quantity of stones"": ""12"", ""Accent Stone Diameter"": ""5.0x3.0 mm""}, ""Stone 3[?]"": {""Stone 3"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Pear"", ""Cut"": ""Very Good"", ""Total Stone Carat[?]"": ""7.92"", ""Quantity of stones"": ""24"", ""Diameter[?]"": ""6.0x4.0 mm""}, ""Stone 4"": {""Stone 4"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Very Good"", ""Total Stone Carat"": ""2.4"", ""Quantity of stones"": ""24"", ""Diameter"": ""3.0 mm""}}"
Women's Bangle Kevyt,"$19,524.00",https://www.glamira.com/womens-bangle-kevyt.html,"{""General"": {""Product No:"": ""NYVR47"", ""Gender"": ""Female"", ""Solid[?]"": ""Yes"", ""Color / Metal[?]"": ""14K White & Yellow Gold"", ""Length[?]"": ""MEDIUM 7.1 inchClick to edit"", ""Rhodium Plated[?]"": ""Yes"", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 64.75 Grams""}, ""Center Stone[?]"": {""Center Stone"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity[?]"": ""VS"", ""Shape[?]"": ""Pear"", ""Cut"": ""Very Good"", ""Total Stone Carat[?]"": ""0.66"", ""Quantity of stones"": ""2"", ""Center Stone Diameter[?]"": ""6.0x4.0 mm""}, ""Accent Stone[?]"": {""Accent Stone"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Pear"", ""Cut"": ""Very Good"", ""Total Stone Carat"": ""1.7"", ""Quantity of stones"": ""10"", ""Accent Stone Diameter"": ""5.0x3.0 mm""}, ""Stone 3[?]"": {""Stone 3"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Very Good"", ""Total Stone Carat[?]"": ""1.4"", ""Quantity of stones"": ""14"", ""Diameter[?]"": ""3.0 mm""}, ""Stone 4"": {""Stone 4"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Marquise"", ""Cut"": ""Very Good"", ""Total Stone Carat"": ""1.8"", ""Quantity of stones"": ""9"", ""Diameter"": ""5.0x2.5 mm""}, ""Stone 5"": {""Stone 5"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Marquise"", ""Cut"": ""Very Good"", ""Total Stone Carat"": ""0.164"", ""Quantity of stones"": ""4"", ""Diameter"": ""4.0x2.0 mm - 3.0x1.5 mm""}, ""Stone 6"": {""Stone 6"": ""Lab Grown Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Very Good"", ""Total Stone Carat"": ""5.55"", ""Quantity of stones"": ""185"", ""Diameter"": ""2.0 mm""}}"
GLAMIRA Bracelet Melva,"$19,368.00",https://www.glamira.com/glamira-bracelet-melva.html,"{""General"": {""Product No:"": ""melva-b"", ""Gender"": ""Female"", ""Solid[?]"": ""Yes"", ""Length[?]"": ""MEDIUM 7.1 inchClick to edit"", ""Color / Metal[?]"": ""14K White Gold"", ""Rhodium Plated[?]"": """", ""Product Dimensions"": ""Click to View"", ""Average Weight"": ""≈ 13.96 Grams""}, ""Center Stone[?]"": {""Center Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color[?]"": ""H"", ""Stone Clarity[?]"": ""VS"", ""Shape[?]"": ""Oval"", ""Cut"": ""Excellent"", ""Total Stone Carat[?]"": ""4.4"", ""Quantity of stones"": ""22"", ""Center Stone Diameter[?]"": ""5.0x3.0 mm""}, ""Accent Stone[?]"": {""Accent Stone"": ""Diamond"", ""Certification"": ""GL Certified"", ""Color"": ""H"", ""Stone Clarity"": ""VS"", ""Shape"": ""Round"", ""Cut"": ""Excellent"", ""Total Stone Carat"": ""0.66"", ""Quantity of stones"": ""22"", ""Accent Stone Diameter"": ""2.0 mm""}}"
