name,price,url,stone_type,stone_shape,stone_clarity,stone_color,stone_carat_weight,metal_type,metal_color,gold_karat,ring_size,source
GLAMIRA Bangle Lebowitz,"$45,564.00",https://www.glamira.com/glamira-bangle-lebowitz.html,Diamond,Round,VS,H,4,Gold,Yellow,14K,,Glamira
GLAMIRA Bangle Aster,"$152,437.00",https://www.glamira.com/glamira-bangle-aster.html,Diamond,Cushion,SI,H,2.85,Gold,Yellow,18K,,Glamira
Women's Bracelet Feny,"$51,828.00",https://www.glamira.com/womens-bracelet-feny.html,Lab Grown Diamond,Oval - Pear,VS,H,19.32,Gold,White & Yellow,14K,,Glamira
GLAMIRA Bracelet Aimee,"$27,362.00",https://www.glamira.com/glamira-bracelet-aimee.html,Diamond,Heart,VS,H,4.84,Gold,Yellow,18K,,Glamira
GLAMIRA Bracelet Efnos,"$28,392.00",https://www.glamira.com/glamira-bracelet-efnos.html,Diamond,Round,VS,H,4.5,Platinum,950,,,Glamira
Women's Bracelet Uholde,"$21,055.00",https://www.glamira.com/womens-bracelet-uholde.html,Pink Sapphire,Emerald,AA,Pink,7.14,Gold,White & Rose & Yellow,14k,,Glamira
GLAMIRA Bracelet Duchesse,"$19,700.00",https://www.glamira.com/glamira-bracelet-duchesse.html,Diamond,Round,VS,H,7.68,Gold,Rose,18K,,Glamira
Women's Bracelet Sooro,"$35,166.00",https://www.glamira.com/womens-bracelet-sooro.html,Lab Grown Diamond,Trillion,VS,H,8.05,Gold,White,14K,,Glamira
Women's Bangle Kevyt,"$19,524.00",https://www.glamira.com/womens-bangle-kevyt.html,Lab Grown Diamond,Pear,VS,H,0.66,Gold,White & Yellow,14K,,Glamira
GLAMIRA Bracelet Melva,"$19,368.00",https://www.glamira.com/glamira-bracelet-melva.html,Diamond,Oval,VS,H,4.4,Gold,White,14K,,Glamira
Women's Bracelet Mirach,"$17,747.00",https://www.glamira.com/womens-bracelet-mirach.html,Lab Grown Diamond,Princess,VS,H,7.4,Gold,White,14K,,Glamira
GLAMIRA Bracelet Caciana,"$17,119.00",https://www.glamira.com/glamira-bracelet-caciana.html,Diamond,Baguette,VS,H,3.74,Silver,925,,,Glamira
Women's Bracelet Kuyenda,"$16,933.00",https://www.glamira.com/womens-bracelet-kuyenda.html,Lab Grown Diamond,Princess,VS,H,9.18,Gold,White,14K,,Glamira
Women's Bracelet Alnair,"$16,856.00",https://www.glamira.com/womens-bracelet-alnair.html,Lab Grown Diamond,Cushion,VS,H,11.52,Gold,Yellow,14K,,Glamira
Women's Bracelet Makurdi,"$14,171.00",https://www.glamira.com/womens-bracelet-makurdi.html,Lab Grown Diamond,Emerald,VS,H,1.86,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Shemeka,"$12,791.00",https://www.glamira.com/glamira-bracelet-shemeka.html,Diamond,Pear,VS,H,0.15,Gold,White,18K,,Glamira
GLAMIRA Bracelet Operamore,"$13,155.00",https://www.glamira.com/glamira-bracelet-operamore.html,Lab Grown Diamond,Trillion,VS,H,4.2,Gold,White,14K,,Glamira
Women's Bracelet Boutonne,"$12,772.00",https://www.glamira.com/womens-bracelet-boutonne.html,Lab Grown Diamond,Baguette,VS,H,11.6,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Greening,"$12,573.00",https://www.glamira.com/glamira-bracelet-greening.html,Diamond,Oval,VS,H,1,Gold,Yellow,14K,,Glamira
Women's Bracelet Jiwalankata,"$12,142.00",https://www.glamira.com/womens-bracelet-jiwalankata.html,Yellow Sapphire,Round,AAA,Yellow,2.1,Gold,White & Rose & Yellow,14k,,Glamira
GLAMIRA Bracelet Foust,"$10,670.00",https://www.glamira.com/glamira-bracelet-foust.html,Lab Grown Diamond,Round,VS,H,4.83,Gold,Yellow,18K,,Glamira
GLAMIRA Bracelet Nodine,"$11,735.00",https://www.glamira.com/glamira-bracelet-nodine.html,Diamond,Pear,VS,H,1.7,Gold,Yellow,14K,,Glamira
GLAMIRA Bangle Streamin,"$10,869.00",https://www.glamira.com/glamira-bangle-streamin.html,Diamond,Pear,VS,H,1.3,Gold,White,18K,,Glamira
GLAMIRA Bracelet Liz,"$10,607.00",https://www.glamira.com/glamira-bracelet-liz.html,Diamond,Round,VS,H,1.95,Gold,Rose,18K,,Glamira
GLAMIRA Bracelet Temp,"$10,504.00",https://www.glamira.com/glamira-bracelet-temp.html,Diamond,Round,VS,H,4.55,Gold,White,18K,,Glamira
GLAMIRA Bracelet Brigett,"$10,554.00",https://www.glamira.com/glamira-bracelet-brigett.html,Diamond,Round,VS,H,1.8,Gold,White,9K,,Glamira
Women's Bangle Brillando,"$10,295.00",https://www.glamira.com/womens-bangle-brillando.html,Yellow Sapphire,Pear,AA,Yellow,3,Gold,White & Yellow,14K,,Glamira
GLAMIRA Bracelet Raymundo,"$10,128.00",https://www.glamira.com/glamira-bracelet-raymundo.html,Emerald,Marquise,AAA,Green,3.124,Gold,Rose,18K,,Glamira
SYLVIE Bracelet Lyrical,"$10,423.00",https://www.glamira.com/sylvie-bracelet-lyrical.html,Lab Grown Diamond,Baguette,VS,H,5.8,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Esmia,"$9,929.00",https://www.glamira.com/glamira-bracelet-esmia.html,Diamond,Baguette,VS,H,3,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Mamira,"$9,599.00",https://www.glamira.com/glamira-bracelet-mamira.html,Diamond,Round,VS,H,1.3,Gold,Yellow,14K,,Glamira
GLAMIRA Bangle Casillag,"$10,048.00",https://www.glamira.com/glamira-bangle-casillag.html,Sapphire,Round,AA,Dark Blue,0.75,Gold,White,14K,,Glamira
GLAMIRA Bracelet Cite,"$9,524.00",https://www.glamira.com/glamira-bracelet-cite.html,Tanzanite,Round,AAA,Blue,16.5,Gold,White,18K,,Glamira
GLAMIRA Bangle Authority,"$9,456.00",https://www.glamira.com/glamira-bangle-authority.html,Lab Grown Diamond,Round,VS,H,8.61,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Alors,"$9,442.00",https://www.glamira.com/glamira-bracelet-alors.html,Diamond,Pear,VS,H,0.195,Gold,White,14K,,Glamira
GLAMIRA Bracelet Marquardt,"$9,227.00",https://www.glamira.com/glamira-bracelet-marquardt.html,Black Diamond,Marquise,AAA,Black,7.2,Gold,Rose,18K,,Glamira
GLAMIRA Bracelet Bertilde,"$9,352.00",https://www.glamira.com/glamira-bracelet-bertilde.html,Diamond,Round,VS,H,1.05,Gold,Rose & White,14K,,Glamira
Women's Bracelet Beleuchtung,"$9,072.00",https://www.glamira.com/womens-bracelet-beleuchtung.html,Yellow Sapphire,Round,AAA,Yellow,3.6,Gold,White,14K,,Glamira
GLAMIRA Bangle Anemone,"$8,929.00",https://www.glamira.com/glamira-bangle-anemone.html,Diamond,Round,VS,H,0.96,Gold,Yellow,18K,,Glamira
GLAMIRA Bracelet Marjorie,"$8,711.00",https://www.glamira.com/glamira-bracelet-marjorie.html,Diamond,Cushion,VS,H,0.11,Gold,Rose,18K,,Glamira
