name,price,url,details
Neil Lane Pear-Shaped Diamond Engagement Ring 5/8 ct tw 14K Rose Gold,1499,https://www.kay.com/neil-lane-pearshaped-diamond-engagement-ring-58-ct-tw-14k-rose-gold/p/V-940615913,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""5/8"", ""Center Stone T.W."": ""1/3"", ""Color"": ""I"", ""Clarity"": ""I1"", ""Lifetime Diamond Commitment"": ""Yes"", ""Stone Type"": ""Diamond"", ""Stone Color"": ""White"", ""Stone Shape"": ""Pear"", ""Stone Carat Range"": ""1/2 Ctw - Under 1 Ctw"", ""Stone Class"": ""Natural"", ""Stone 2 Type"": ""Diamond"", ""Stone 2 Color"": ""White"", ""Stone 2 Shape"": ""Round"", ""Stone 2 Class"": ""Natural"", ""Stone Setting"": ""Prong"", ""Setting Only"": ""false"", ""Stone 2 Diamond Clarity"": ""I1"", ""Stone 2 Diamond Color"": ""I""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""Rose"", ""Metal Finish"": ""Milgrain"", ""Gold Karat"": ""14K""}, ""Ring Design"": {""Ring Style"": ""Engagement Ring"", ""Standard Ring Size"": ""7.0""}, ""Product Details"": {""Height"": ""9.5 mm""}}"
THE LEO First Light Diamond Oval-Cut Engagement Ring 1 ct tw 14K White Gold,2899,https://www.kay.com/the-leo-first-light-diamond-ovalcut-engagement-ring-1-ct-tw-14k-white-gold/p/V-994277212,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""1"", ""Center Stone T.W."": ""1/2"", ""Color"": ""I"", ""Clarity"": ""I1"", ""Certified Diamond"": ""Yes"", ""Lifetime Diamond Commitment"": ""Yes"", ""Stone Type"": ""Diamond"", ""Stone Color"": ""White"", ""Stone Shape"": ""Oval"", ""Stone Carat Range"": ""1 Ctw - Under 3 Ctw"", ""Stone Class"": ""Natural"", ""Stone 2 Type"": ""Diamond"", ""Stone 2 Color"": ""White"", ""Stone 2 Shape"": ""Round"", ""Stone 2 Class"": ""Natural"", ""Stone 3 Type"": ""Diamond"", ""Stone 3 Color"": ""White"", ""Stone 3 Shape"": ""Round"", ""Stone 3 Class"": ""Natural"", ""Stone Setting"": ""Prong"", ""Setting Only"": ""false"", ""Stone 2 Diamond Clarity"": ""I1"", ""Stone 2 Diamond Color"": ""I"", ""Stone 3 Diamond Clarity"": ""I1"", ""Stone 3 Diamond Color"": ""I""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""White"", ""Metal Finish"": ""Polished"", ""Gold Karat"": ""14K""}, ""Ring Design"": {""Ring Style"": ""Engagement Ring"", ""Standard Ring Size"": ""7.0""}, ""Product Details"": {""Height"": ""7 mm""}}"
THE LEO First Light Diamond Anniversary Band 1/2 ct tw 14K White Gold,1099,https://www.kay.com/the-leo-first-light-diamond-anniversary-band-12-ct-tw-14k-white-gold/p/V-994271803,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""1/2"", ""Color"": ""I"", ""Clarity"": ""I1"", ""Certified Diamond"": ""Yes"", ""Lifetime Diamond Commitment"": ""Yes"", ""Stone Type"": ""Diamond"", ""Stone Color"": ""White"", ""Stone Shape"": ""Round"", ""Stone Carat Range"": ""1/2 Ctw - Under 1 Ctw"", ""Stone Class"": ""Natural"", ""Stone Setting"": ""Shared Prongs"", ""Setting Only"": ""false""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""White"", ""Gold Karat"": ""14K""}, ""Ring Design"": {""Ring Style"": ""Anniversary"", ""Standard Ring Size"": ""7.0""}, ""Product Details"": {""Height"": ""2.75 mm""}}"
Neil Lane Morganite Engagement Ring 3/4 ct tw Pear & Round-cut 14K White Gold,1999,https://www.kay.com/neil-lane-morganite-engagement-ring-34-ct-tw-pear-roundcut-14k-white-gold/p/V-940375710,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""3/4"", ""Lifetime Diamond Commitment"": ""Yes"", ""Stone Type"": ""Morganite"", ""Stone Color"": ""Peach"", ""Stone Shape"": ""Pear"", ""Stone Size"": ""9 x 6.5"", ""Stone Carat Range"": ""1/2 Ctw - Under 1 Ctw"", ""Stone Class"": ""Natural"", ""Stone 2 Type"": ""Diamond"", ""Stone 2 Color"": ""White"", ""Stone 2 Shape"": ""Round"", ""Stone 2 Class"": ""Natural"", ""Stone Setting"": ""Prong"", ""Setting Only"": ""false"", ""Stone 2 Diamond Clarity"": ""I1"", ""Stone 2 Diamond Color"": ""I""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""White"", ""Metal Finish"": ""Milgrain"", ""Gold Karat"": ""14K""}, ""Ring Design"": {""Ring Style"": ""Engagement Ring"", ""Standard Ring Size"": ""7.0""}, ""Product Details"": {""Height"": ""13 mm""}}"
Now + Forever Diamond Solitaire Ring 1/2 Carat Princess-Cut 14K White Gold (I/I2),1099,https://www.kay.com/now-forever-diamond-solitaire-ring-12-carat-princesscut-14k-white-gold-ii2/p/V-161290008,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""1/2"", ""Center Stone T.W."": ""1/2"", ""Color"": ""I"", ""Clarity"": ""I2"", ""Lifetime Diamond Commitment"": ""Yes"", ""Stone Type"": ""Diamond"", ""Stone Color"": ""White"", ""Stone Shape"": ""Princess-Cut"", ""Stone Carat Range"": ""1/2 Ctw - Under 1 Ctw"", ""Stone Class"": ""Natural"", ""Stone Setting"": ""Prong"", ""Setting Only"": ""false""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""White"", ""Gold Karat"": ""14K""}, ""Ring Design"": {""Ring Style"": ""Engagement Ring"", ""Standard Ring Size"": ""7.0""}}"
Now + Forever Diamond Solitaire Ring 1/2 carat Round-cut 14K White Gold (I/I2),1099,https://www.kay.com/now-forever-diamond-solitaire-ring-12-carat-roundcut-14k-white-gold-ii2/p/V-150866604,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""1/2"", ""Center Stone T.W."": ""1/2"", ""Color"": ""I"", ""Clarity"": ""I2"", ""Lifetime Diamond Commitment"": ""Yes"", ""Stone Type"": ""Diamond"", ""Stone Color"": ""White"", ""Stone Shape"": ""Round"", ""Stone Carat Range"": ""1/2 Ctw - Under 1 Ctw"", ""Stone Class"": ""Natural"", ""Stone Setting"": ""Prong"", ""Setting Only"": ""false""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""White"", ""Gold Karat"": ""14K""}, ""Ring Design"": {""Ring Style"": ""Engagement Ring"", ""Standard Ring Size"": ""7.0""}, ""Product Details"": {""Height"": ""3 mm""}}"
Now + Forever Diamond Solitaire Ring 1/2 carat Round-Cut 14K Yellow Gold (I/I2),1099,https://www.kay.com/now-forever-diamond-solitaire-ring-12-carat-roundcut-14k-yellow-gold-ii2/p/V-150356006,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""1/2"", ""Center Stone T.W."": ""1/2"", ""Color"": ""I"", ""Clarity"": ""I2"", ""Lifetime Diamond Commitment"": ""Yes"", ""Stone Type"": ""Diamond"", ""Stone Color"": ""White"", ""Stone Shape"": ""Round"", ""Stone Carat Range"": ""1/2 Ctw - Under 1 Ctw"", ""Stone Class"": ""Natural"", ""Stone Setting"": ""Prong"", ""Setting Only"": ""false""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""Yellow"", ""Gold Karat"": ""14K""}, ""Ring Design"": {""Ring Style"": ""Engagement Ring"", ""Standard Ring Size"": ""7.0""}, ""Product Details"": {""Height"": ""3 mm""}}"
Now + Forever Oval-Cut Black Diamond & White Diamond Engagement Ring 1-1/4 ct tw 14K Yellow Gold,1149,https://www.kay.com/now-forever-ovalcut-black-diamond-white-diamond-engagement-ring-114-ct-tw-14k-yellow-gold/p/V-995037506,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""1-1/4"", ""Center Stone T.W."": ""1"", ""Color"": ""Fancy"", ""Clarity"": ""I3"", ""Lifetime Diamond Commitment"": ""Yes"", ""Stone Type"": ""Diamond"", ""Stone Color"": ""Black"", ""Stone Shape"": ""Oval"", ""Stone Carat Range"": ""1 Ctw - Under 3 Ctw"", ""Stone Class"": ""Natural"", ""Stone 2 Type"": ""Diamond"", ""Stone 2 Color"": ""White"", ""Stone 2 Shape"": ""Round"", ""Stone 2 Class"": ""Natural"", ""Stone Setting"": ""Bezel"", ""Setting Only"": ""false"", ""Stone 2 Diamond Clarity"": ""I2"", ""Stone 2 Diamond Color"": ""I""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""Yellow"", ""Gold Karat"": ""14K""}, ""Ring Design"": {""Ring Style"": ""Engagement Ring"", ""Standard Ring Size"": ""7.0""}, ""Product Details"": {""Height"": ""8.14 mm""}}"
Neil Lane Premiere Diamond Band 1/2 ct tw 14K White Gold,1199,https://www.kay.com/neil-lane-premiere-diamond-band-12-ct-tw-14k-white-gold/p/V-533130504,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""1/2"", ""Color"": ""I"", ""Clarity"": ""SI2"", ""Certified Diamond"": ""Yes"", ""Lifetime Diamond Commitment"": ""Yes"", ""Stone Type"": ""Diamond"", ""Stone Color"": ""White"", ""Stone Shape"": ""Round"", ""Stone Carat Range"": ""1/2 Ctw - Under 1 Ctw"", ""Stone Class"": ""Natural"", ""Stone Setting"": ""Bead"", ""Setting Only"": ""false""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""White"", ""Metal Finish"": ""Rhodium"", ""Gold Karat"": ""14K"", ""Rhodium Color"": ""White""}, ""Ring Design"": {""Ring Style"": ""Anniversary"", ""Standard Ring Size"": ""7.0""}, ""Product Details"": {""Height"": ""2 mm""}}"
Now + Forever Marquise-Cut Diamond Engagement Ring 1/2 ct tw 14K White Gold,1399,https://www.kay.com/now-forever-marquisecut-diamond-engagement-ring-12-ct-tw-14k-white-gold/p/V-995016704,"{""Stone(s)"": {""Total Weight (CT. T.W.)"": ""1/2"", ""Center Stone T.W."": ""1/3"", ""Color"": ""I"", ""Clarity"": ""I2"", ""Lifetime Diamond Commitment"": ""Yes"", ""Stone Type"": ""Diamond"", ""Stone Color"": ""White"", ""Stone Shape"": ""Marquise"", ""Stone Carat Range"": ""1/2 Ctw - Under 1 Ctw"", ""Stone Class"": ""Natural"", ""Stone 2 Type"": ""Diamond"", ""Stone 2 Color"": ""White"", ""Stone 2 Shape"": ""Round"", ""Stone 2 Class"": ""Natural"", ""Stone Setting"": ""Prong"", ""Setting Only"": ""false"", ""Stone 2 Diamond Clarity"": ""I2"", ""Stone 2 Diamond Color"": ""I""}, ""Metal(s)"": {""Metal Type"": ""Gold"", ""Metal Color"": ""White"", ""Gold Karat"": ""14K""}, ""Ring Design"": {""Ring Style"": ""Engagement Ring"", ""Standard Ring Size"": ""7.0""}, ""Product Details"": {""Height"": ""8 mm""}}"
