name,price,url,stone_type,stone_shape,stone_clarity,stone_color,stone_carat_weight,metal_type,metal_color,gold_karat,ring_size,source
Neil Lane Pear-Shaped Diamond Engagement Ring 5/8 ct tw 14K Rose Gold,1499,https://www.kay.com/neil-lane-pearshaped-diamond-engagement-ring-58-ct-tw-14k-rose-gold/p/V-940615913,Diamond,Pear,I1,I,5/8,Gold,Rose,14K,7.0,Kay Jewellers
THE LEO First Light Diamond Oval-Cut Engagement Ring 1 ct tw 14K White Gold,2899,https://www.kay.com/the-leo-first-light-diamond-ovalcut-engagement-ring-1-ct-tw-14k-white-gold/p/V-994277212,Diamond,Oval,I1,I,1,Gold,White,14K,7.0,Kay Jewellers
THE LEO First Light Diamond Anniversary Band 1/2 ct tw 14K White Gold,1099,https://www.kay.com/the-leo-first-light-diamond-anniversary-band-12-ct-tw-14k-white-gold/p/V-994271803,Diamond,Round,I1,I,1/2,Gold,White,14K,7.0,Kay Jewellers
Neil Lane Morganite Engagement Ring 3/4 ct tw Pear & Round-cut 14K White Gold,1999,https://www.kay.com/neil-lane-morganite-engagement-ring-34-ct-tw-pear-roundcut-14k-white-gold/p/V-940375710,Morganite,Pear,I1,Peach,3/4,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Diamond Solitaire Ring 1/2 Carat Princess-Cut 14K White Gold (I/I2),1099,https://www.kay.com/now-forever-diamond-solitaire-ring-12-carat-princesscut-14k-white-gold-ii2/p/V-161290008,Diamond,Princess-Cut,I2,I,1/2,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Diamond Solitaire Ring 1/2 carat Round-cut 14K White Gold (I/I2),1099,https://www.kay.com/now-forever-diamond-solitaire-ring-12-carat-roundcut-14k-white-gold-ii2/p/V-150866604,Diamond,Round,I2,I,1/2,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Diamond Solitaire Ring 1/2 carat Round-Cut 14K Yellow Gold (I/I2),1099,https://www.kay.com/now-forever-diamond-solitaire-ring-12-carat-roundcut-14k-yellow-gold-ii2/p/V-150356006,Diamond,Round,I2,I,1/2,Gold,Yellow,14K,7.0,Kay Jewellers
Now + Forever Oval-Cut Black Diamond & White Diamond Engagement Ring 1-1/4 ct tw 14K Yellow Gold,1149,https://www.kay.com/now-forever-ovalcut-black-diamond-white-diamond-engagement-ring-114-ct-tw-14k-yellow-gold/p/V-995037506,Diamond,Oval,I3,Fancy,1-1/4,Gold,Yellow,14K,7.0,Kay Jewellers
Neil Lane Premiere Diamond Band 1/2 ct tw 14K White Gold,1199,https://www.kay.com/neil-lane-premiere-diamond-band-12-ct-tw-14k-white-gold/p/V-533130504,Diamond,Round,SI2,I,1/2,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Marquise-Cut Diamond Engagement Ring 1/2 ct tw 14K White Gold,1399,https://www.kay.com/now-forever-marquisecut-diamond-engagement-ring-12-ct-tw-14k-white-gold/p/V-995016704,Diamond,Marquise,I2,I,1/2,Gold,White,14K,7.0,Kay Jewellers
THE LEO First Light Diamond Oval-Cut Bridal Set 1-1/5 ct tw 14K White Gold,3499,https://www.kay.com/the-leo-first-light-diamond-ovalcut-bridal-set-115-ct-tw-14k-white-gold/p/V-994277200,Diamond,,,,1-1/5,Gold,White,14K,,Kay Jewellers
Now + Forever Diamond Engagement Ring 1 ct tw Radiant & Round 14K White Gold,2999,https://www.kay.com/now-forever-diamond-engagement-ring-1-ct-tw-radiant-round-14k-white-gold/p/V-994064208,Diamond,Radiant-Cut,SI2,I,1,Gold,White,14K,7.0,Kay Jewellers
THE LEO Diamond Three-Stone Engagement Ring 7/8 ct tw 14K White Gold,1999,https://www.kay.com/the-leo-diamond-threestone-engagement-ring-78-ct-tw-14k-white-gold/p/V-993146808,Diamond,Princess-Cut,SI2,I,7/8,Gold,White,14K,7.0,Kay Jewellers
Neil Lane Pear-Shaped Diamond Halo Twist Shank Bridal Set 3/4 ct tw 14K Yellow Gold,1999,https://www.kay.com/neil-lane-pearshaped-diamond-halo-twist-shank-bridal-set-34-ct-tw-14k-yellow-gold/p/V-940699100,Diamond,,,,3/4,Gold,Yellow,14K,,Kay Jewellers
Neil Lane Pear-Shaped Diamond Halo Twist Shank Bridal Set 3/4 ct tw 14K White Gold,1999,https://www.kay.com/neil-lane-pearshaped-diamond-halo-twist-shank-bridal-set-34-ct-tw-14k-white-gold/p/V-940698300,Diamond,,,,3/4,Gold,White,14K,,Kay Jewellers
Neil Lane Pear-Shaped & Round-Cut Diamond Bridal Set 3/4 ct tw 14K Rose Gold,1999,https://www.kay.com/neil-lane-pearshaped-roundcut-diamond-bridal-set-34-ct-tw-14k-rose-gold/p/V-940615900,Diamond,,,,3/4,Gold,Rose,14K,,Kay Jewellers
Neil Lane Bridal Diamond Ring 1-1/6 cts tw 14K White Gold,2799,https://www.kay.com/neil-lane-bridal-diamond-ring-116-cts-tw-14k-white-gold/p/V-940345010,Diamond,Oval,I1,I,1-1/6,Gold,White,14K,7.0,Kay Jewellers
Neil Lane Black & White Pear Shaped Diamond Bridal Set 1-1/2 ct tw 14K Rose Gold,2299,https://www.kay.com/neil-lane-black-white-pear-shaped-diamond-bridal-set-112-ct-tw-14k-rose-gold/p/V-940529000,Diamond,,,,1-1/2,Gold,Rose,14K,,Kay Jewellers
Neil Lane Pear-Shaped Black & White Diamond Bridal Set 1-1/2 ct tw 14K Yellow Gold,2299,https://www.kay.com/neil-lane-pearshaped-black-white-diamond-bridal-set-112-ct-tw-14k-yellow-gold/p/V-890185800,Diamond,,,,1-1/2,Gold,Yellow,14K,,Kay Jewellers
Neil Lane Pear-Shaped Black & White Diamond Bridal Set 1-1/2 ct tw 14K White Gold,2299,https://www.kay.com/neil-lane-pearshaped-black-white-diamond-bridal-set-112-ct-tw-14k-white-gold/p/V-848407800,Diamond,,,,1-1/2,Gold,White,14K,,Kay Jewellers
THE LEO Ideal Cut Diamond Enhancer Ring 1-1/4 ct tw 14K White Gold,2499,https://www.kay.com/the-leo-ideal-cut-diamond-enhancer-ring-114-ct-tw-14k-white-gold/p/V-818738700,Diamond,Round,I1,I,1-1/4,Gold,White,14K,7.0,Kay Jewellers
THE LEO First Light Diamond Round-Cut Cushion Halo Bridal Set 7/8 ct tw 14K White Gold,2499,https://www.kay.com/the-leo-first-light-diamond-roundcut-cushion-halo-bridal-set-78-ct-tw-14k-white-gold/p/V-823234600,Diamond,,,,7/8,Gold,White,14K,,Kay Jewellers
Now + Forever Diamond Enhancer Ring 1 ct tw 14K White Gold,1899,https://www.kay.com/now-forever-diamond-enhancer-ring-1-ct-tw-14k-white-gold/p/V-762205300,Diamond,Round,I2,I,1,Gold,White,14K,7.0,Kay Jewellers
THE LEO Ideal Cut Diamond Three-Stone Engagement Ring 1 ct tw 14K White Gold,2799,https://www.kay.com/the-leo-ideal-cut-diamond-threestone-engagement-ring-1-ct-tw-14k-white-gold/p/V-555583804,Diamond,Round,I1,I,1,Gold,White,14K,7.0,Kay Jewellers
THE LEO Diamond Enhancer Ring 3/4 ct tw Round-cut 14K White Gold,1799,https://www.kay.com/the-leo-diamond-enhancer-ring-34-ct-tw-roundcut-14k-white-gold/p/V-731440501,Diamond,Round,SI2,I,3/4,Gold,White,14K,7.0,Kay Jewellers
"Now + Forever Marquise-Cut Blue Sapphire, Baguette & Round-Cut Diamond Anniversary Ring 1-1/5 ct tw 14K White Gold",2899,https://www.kay.com/now-forever-marquisecut-blue-sapphire-baguette-roundcut-diamond-anniversary-ring-115-ct-tw-14k-white-gold/p/V-534027204,Diamond,Round,I2,I,1-1/5,Gold,White,14K,7.0,Kay Jewellers
THE LEO Diamond Princess-Cut Three-Stone Engagement Ring 7/8 ct tw 14K White Gold,1999,https://www.kay.com/the-leo-diamond-princesscut-threestone-engagement-ring-78-ct-tw-14k-white-gold/p/V-380980906,Lab-Grown Diamond,Princess-Cut,SI2,I,7/8,Gold,White,14K,7.0,Kay Jewellers
