name,price,url,stone_type,stone_shape,stone_clarity,stone_color,stone_carat_weight,metal_type,metal_color,gold_karat,ring_size,category,source
Mabel Grand Pavé Band (1/2 ct. tw.),1200.0,https://www.rarecarat.com/wedding-ring/56-Mabel-Grand-Pavé-Band-(1-2-ct.-tw.)/30975,Diamond,,SI1,G-H,0.54,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Mabel Classic Pavé Band (2/5 ct. tw.),1060.0,https://www.rarecarat.com/wedding-ring/56-Mabel-Classic-Pavé-Band-(2-5-ct.-tw.)/30965,Diamond,,SI1,G-H,0.43,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Signature Hearts & Arrows Pavé Band (1/2ct. tw.),2010.0,https://www.rarecarat.com/wedding-ring/57-Signature-Hearts-&-Arrows-Pavé-Band-(1-2ct.-tw.)/34060,Diamond,,VS2,F,0.5,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Hayden Round and Marquise Band,1370.0,https://www.rarecarat.com/wedding-ring/59-Hayden-Round-and-Marquise-Band/34664,Diamond,,SI1,G-H,0.25,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Emily Twisted Pave Band,1540.0,https://www.rarecarat.com/wedding-ring/170-Emily-Twisted-Pave-Band/21340,Diamond,,SI1,G,0.17,White Gold,,14K,3.0 to 12.0,Ring,rarecarat
Bellora Pavé Twist Diamond Band,1700.0,https://www.rarecarat.com/wedding-ring/55-Bellora-Pavé-Twist-Diamond-Band/35925,Diamond,,SI1,G-H,0.2,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Classic Oval Ruby and Diamond Eternity Ring,7760.0,https://www.rarecarat.com/wedding-ring/55-Classic-Oval-Ruby-and-Diamond-Eternity-Ring/35709,Diamond,,SI1,G-H,1.5,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Riley Pave Band,1630.0,https://www.rarecarat.com/wedding-ring/170-Riley-Pave-Band/21577,Diamond,,SI1,G,0.51,White Gold,,14K,3.0 to 12.0,Ring,rarecarat
Everly Marquise Diamond Band,2030.0,https://www.rarecarat.com/wedding-ring/56-Everly-Marquise-Diamond-Band/28712,Diamond,,SI1,G-H,0.64,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Freya Diamond Twist Wedding Band,1510.0,https://www.rarecarat.com/wedding-ring/182-Freya-Diamond-Twist-Wedding-Band/29264,Diamond,Round,SI1-SI2,G-H,0.2,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Elizabeth Diamond Matching Wedding Band,1150.0,https://www.rarecarat.com/wedding-ring/53-Elizabeth-Diamond-Matching-Wedding-Band/22295,Diamond,,SI1,F-G,0.24,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Signature Hearts & Arrows Shared Prong Band (1/4ct. tw.),1330.0,https://www.rarecarat.com/wedding-ring/57-Signature-Hearts-&-Arrows-Shared-Prong-Band-(1-4ct.-tw.)/34101,Diamond,,VS2,F,0.25,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Signature Hearts & Arrows Pavé Band (1/4ct. tw.),1450.0,https://www.rarecarat.com/wedding-ring/57-Signature-Hearts-&-Arrows-Pavé-Band-(1-4ct.-tw.)/34051,Diamond,,VS2,F,0.25,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
Grande Cascade Diamond Band (1.00 ct. tw.),2490.0,https://www.rarecarat.com/wedding-ring/56-Grande-Cascade-Diamond-Band-(1.00-ct.-tw.)/31397,Diamond,,SI1,G-H,1.02,White Gold,,14K,3.0 to 10.0,Ring,rarecarat
