name,price,url,details
Mabel Grand Pavé Band (1/2 ct. tw.),1200.0,https://www.rarecarat.com/wedding-ring/56-Mabel-Grand-Pavé-Band-(1-2-ct.-tw.)/30975,"{""gold_carat"": ""14K"", ""metal_type"": ""White Gold"", ""SKU"": ""SDC10076-4WL"", ""Sizes Available"": ""3.0 to 10.0"", ""Width"": ""2.00mm"", ""Metal"": ""14K White Gold"", ""Number of Diamonds"": ""18"", ""Total Carat Weight (min)"": ""0.54"", ""Clarity"": ""SI1"", ""Color"": ""G-H""}"
Mabel Classic Pavé Band (2/5 ct. tw.),1060.0,https://www.rarecarat.com/wedding-ring/56-Mabel-Classic-Pavé-Band-(2-5-ct.-tw.)/30965,"{""gold_carat"": ""14K"", ""metal_type"": ""White Gold"", ""SKU"": ""SDC10075-4WL"", ""Sizes Available"": ""3.0 to 10.0"", ""Width"": ""1.80mm"", ""Metal"": ""14K White Gold"", ""Number of Diamonds"": ""19"", ""Total Carat Weight (min)"": ""0.43"", ""Clarity"": ""SI1"", ""Color"": ""G-H""}"
Signature Hearts & Arrows Pavé Band (1/2ct. tw.),2010.0,https://www.rarecarat.com/wedding-ring/57-Signature-Hearts-&-Arrows-Pavé-Band-(1-2ct.-tw.)/34060,"{""gold_carat"": ""14K"", ""metal_type"": ""White Gold"", ""SKU"": ""WB01YFW050"", ""Sizes Available"": ""3.0 to 10.0"", ""Width"": ""2.68mm"", ""Metal"": ""14K White Gold"", ""Number of Diamonds"": ""14"", ""Total Carat Weight (min)"": ""0.5"", ""Clarity"": ""VS2"", ""Color"": ""F""}"
Hayden Round and Marquise Band,1370.0,https://www.rarecarat.com/wedding-ring/59-Hayden-Round-and-Marquise-Band/34664,"{""gold_carat"": ""14K"", ""metal_type"": ""White Gold"", ""SKU"": ""ENCT5086BA1W"", ""Sizes Available"": ""3.0 to 10.0"", ""Width"": ""1.80mm"", ""Metal"": ""14K White Gold"", ""Number of Diamonds"": ""16"", ""Total Carat Weight (min)"": ""0.25"", ""Clarity"": ""SI1"", ""Color"": ""G-H""}"
Emily Twisted Pave Band,1540.0,https://www.rarecarat.com/wedding-ring/170-Emily-Twisted-Pave-Band/21340,"{""gold_carat"": ""14K"", ""metal_type"": ""White Gold"", ""SKU"": ""MB0036-14K-W"", ""Sizes Available"": ""3.0 to 12.0"", ""Width Range"": ""1.90mm to 2.00mm"", ""Metal"": ""14K White Gold"", ""Height"": ""1.80mm"", ""Number of Diamonds"": ""44"", ""Total Carat Weight (min)"": ""0.17"", ""Clarity"": ""SI1"", ""Color"": ""G""}"
Bellora Pavé Twist Diamond Band,1700.0,https://www.rarecarat.com/wedding-ring/55-Bellora-Pavé-Twist-Diamond-Band/35925,"{""gold_carat"": ""14K"", ""metal_type"": ""White Gold"", ""SKU"": ""9776613MBHE_14KW"", ""Sizes Available"": ""3.0 to 10.0"", ""Width"": ""3.00mm"", ""Metal"": ""14K White Gold"", ""Number of Diamonds"": ""20"", ""Total Carat Weight (min)"": ""0.2"", ""Clarity"": ""SI1"", ""Color"": ""G-H""}"
Classic Oval Ruby and Diamond Eternity Ring,7760.0,https://www.rarecarat.com/wedding-ring/55-Classic-Oval-Ruby-and-Diamond-Eternity-Ring/35709,"{""gold_carat"": ""14K"", ""metal_type"": ""White Gold"", ""SKU"": ""9774465_14KW_NAT"", ""Sizes Available"": ""3.0 to 10.0"", ""Width"": ""4.25mm"", ""Metal"": ""14K White Gold"", ""Number of Diamonds"": ""10"", ""Total Carat Weight (min)"": ""1.5"", ""Clarity"": ""SI1"", ""Color"": ""G-H""}"
Riley Pave Band,1630.0,https://www.rarecarat.com/wedding-ring/170-Riley-Pave-Band/21577,"{""gold_carat"": ""14K"", ""metal_type"": ""White Gold"", ""SKU"": ""MB0063-14K-W"", ""Sizes Available"": ""3.0 to 12.0"", ""Width Range"": ""2.15mm to 2.25mm"", ""Metal"": ""14K White Gold"", ""Number of Diamonds"": ""17"", ""Total Carat Weight (min)"": ""0.51"", ""Clarity"": ""SI1"", ""Color"": ""G""}"
Everly Marquise Diamond Band,2030.0,https://www.rarecarat.com/wedding-ring/56-Everly-Marquise-Diamond-Band/28712,"{""gold_carat"": ""14K"", ""metal_type"": ""White Gold"", ""SKU"": ""SDC10017-4WL"", ""Sizes Available"": ""3.0 to 10.0"", ""Width"": ""1.60mm"", ""Metal"": ""14K White Gold"", ""Number of Diamonds"": ""8"", ""Total Carat Weight (min)"": ""0.64"", ""Clarity"": ""SI1"", ""Color"": ""G-H""}"
Freya Diamond Twist Wedding Band,1510.0,https://www.rarecarat.com/wedding-ring/182-Freya-Diamond-Twist-Wedding-Band/29264,"{""gold_carat"": ""14K"", ""metal_type"": ""White Gold"", ""SKU"": ""85290-W-4W1"", ""Sizes Available"": ""3.0 to 10.0"", ""Width Range"": ""1.70mm to 2.00mm"", ""Metal"": ""14K White Gold"", ""Shape"": ""Round"", ""Number of Diamonds"": ""40"", ""Total Carat Weight (min)"": ""0.2"", ""Clarity"": ""SI1-SI2"", ""Color"": ""G-H""}"
